Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10µF","C_1206",-129.850000,89.000000,180.000000,top
"C2","100nF","C_0805",-129.850000,95.500000,0.000000,top
"C3","22µF","C_0805",-120.350000,85.500000,0.000000,top
"C4","22µF","C_0805",-120.350000,83.500000,0.000000,top
"C5","22µF","C_0805",-120.350000,81.500000,0.000000,top
"C6","22µF","C_0805",-124.100000,83.500000,180.000000,top
"D1","SS14","D_SMA",-122.350000,95.500000,0.000000,top
"L1","220µH","L_Wuerth_WE-PD2-Typ-MS",-122.350000,90.000000,0.000000,top
"R1","100k","R_0805",-124.100000,85.500000,180.000000,top
"R2","5.6k","R_0805",-132.100000,85.500000,180.000000,top
"R3","18k","R_0805",-132.100000,83.500000,180.000000,top
"U1","BL9342","SOT-23-6_Handsoldering",-129.850000,92.500000,0.000000,top
